Merged_YM,node.title,node.url
2020-02,Initial commit of playbooks,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/1
2020-03,Update playbooks to latest vresion ,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/4
2020-03,Create LICENSE,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/6
2020-03,Add new cleanup operator resources playbook,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/7
2020-04,support image pull secrets for operator certification,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/8
2020-04,Add operator bundle image extraction and parsing roles,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/10
,Update prepare-ocp4-aws-config.yml to run independently,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/11
2020-05,Remove unnecessary code related to pipeline vault from prepare-ocp4-aws-config.yml,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/12
2020-05,Add the operator bundle data validation role using operator-sdk,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/13
2020-04,Remove namespace from pull secret,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/14
,This is a test,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/15
2020-05,Add test to verify OCP version is set correctly.,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/16
,Extend playbooks for upstream,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/17
2020-05,Add operator bundle basic sanity tests to the parsing role,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/18
2020-05,"Modify base64 decode command to fix the ""bad magic number"" error",https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/19
2020-05,[CVP-970] [CVP-1071] Improve output of prepare-metadata step for users,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/20
2020-05,Bugfix: Skip extraction of alm examples,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/21
2020-05,allow null backport value,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/22
,Integrate upstream to Ansible pipelines,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/23
2020-05,Fix the issue with parsing operator namespace support,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/24
2020-06,Bugfix: Fix incorrect CSV in Operator metadata preparation test,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/25
2020-06,Use first channel from the bundle image channels list as current_channel,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/26
2020-07,Upstream changes on bundle and package tests,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/27
,WIP: Release pipeline - sprint 6 phase 3 ,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/28
2020-06,Change the repository for the umoci tool,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/29
2020-08,Add ability to loop over the ocp versions verifying if acceptable,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/30
2020-06,Remove obsolete ubi check,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/31
2020-07,"Fix for the syntax error on ""operator-metadata-preparation-bundle-image test""",https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/32
,Add check for presence of required labels,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/33
,Release pipeline,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/34
2020-07,"Always run bundle validation, add check for presence of required labels",https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/35
2020-09,Use the oc adm catalog build command in place of offline-cataloger,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/36
2020-07,Upstream latest version 28.7.2020 (#73),https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/38
,Sprint 9,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/39
2020-07,Upstream latest version 30.7.2020 (#76),https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/40
2020-08,Return json instead of error code in parse_operator_metadata,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/41
2020-08,[CVP-1226] operator metadata role update,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/42
,fix yaml parsing of complex CSV files,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/43
2020-08,"Revert ""[CVP-1226] operator metadata role update""",https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/44
2020-08,[CVP-1226] operator metadata role update,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/45
2020-08,[CVP-1214] imporve logging of deploy operator olm playbooks,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/46
2020-09,Add a failure message to the parse operator metadata role,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/47
,parse_operator_metadata - recurse to find pkg path,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/48
2020-09,Bugfix: Fix the false postive runs for parse-operator-metadata role,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/49
2020-10,Make required operator_dir slightly more explicit,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/50
2020-09,Using the already extracted bundle for inspect to skip hitting 504,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/51
2020-09,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/52
2020-09,Doc improvments,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/53
2020-10,Use gpg to decrypt kube_objects,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/54
2020-10,[CVP-1320] Add check for mediatype.v1 label,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/55
2020-10,Testing operaror version from dirname and in csv file,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/56
2020-10,Ingore errors for bundle and index add,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/57
2020-10,Improved oc install retry,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/58
2020-10,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/59
2020-10,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/60
2020-10,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/61
2020-10,Improved validation output to be printed,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/62
2020-10,Converting bundlebuild to ingnore_errors,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/63
2020-10,Fix bundle_index_image in push to quay,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/64
2020-10,Fixing bundle image,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/65
2020-10,Failing when running in strict mode,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/66
2020-10,Fixing bundle dectection,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/67
2020-10,Improvment with container tool variables,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/68
2020-10,Doc ready for prod,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/69
2020-10,Dont clone repo when installing docker or deps,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/70
2020-10,Improved message for docker post install,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/71
2020-10,OSR test implemented,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/72
2020-10,Added osr run script,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/73
2020-10,ci-operator,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/74
2020-11,Add documentation on operator test playbooks CI,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/75
2020-10,Deleting tags only in case there are versions to remov,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/76
2020-10,Fix,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/77
2020-10,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/78
2020-10,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/79
2020-10,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/80
2020-11,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/81
2020-11,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/82
2020-11,Fix to check operators_for_index correctly,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/83
2020-11,Fix operator_courier_version,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/84
2020-11,Fix chceck verify,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/85
,Generate parse_operator_metadata_results.json on failure of operator courier nest command,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/86
2020-11,Upstream community,https://github.com/redhat-openshift-ecosystem/operator-test-playbooks/pull/87
